DB: Renault | Triber | RXT AMT -> 3359000
DB: Renault | Triber | RXZ AMT -> 3509000
DB: Renault | Kiger | RXE 1.0L Energy MT -> 3499000
DB: Renault | Kiger | RXZ 1.0L Turbo MT -> 4099000
DB: Renault | Kiger | RXZ 1.0L Turbo CVT -> 4399000
DB: Maruti Suzuki | Alto | STD -> 2449000
DB: Maruti Suzuki | Alto | LXI -> 2649000
DB: Maruti Suzuki | Alto | VXI -> 2849000
DB: Maruti Suzuki | WagonR | LXI 1.0L MT -> 3149000
DB: Maruti Suzuki | WagonR | VXI 1.0L MT -> 3449000
DB: Maruti Suzuki | WagonR | VXI 1.2L MT -> 3749000
DB: Maruti Suzuki | WagonR | ZXI+ 1.2L AMT -> 4099000
DB: Maruti Suzuki | Celerio | LXI MT -> 2799000
DB: Maruti Suzuki | Celerio | VXI MT -> 3099000
DB: Maruti Suzuki | Celerio | ZXI AMT -> 3449000
DB: Maruti Suzuki | Swift | VXI MT -> 3999000
DB: Maruti Suzuki | Swift | ZXI MT -> 4399000
DB: Maruti Suzuki | Swift | ZXI+ AMT -> 4899000
DB: Maruti Suzuki | Dzire | VXI MT -> 3999000
DB: Maruti Suzuki | Dzire | ZXI MT -> 4399000
DB: Maruti Suzuki | Dzire | ZXI+ AMT -> 4799000
DB: Maruti Suzuki | Baleno | Delta MT -> 4099000
DB: Maruti Suzuki | Baleno | Zeta MT -> 4299000
DB: Maruti Suzuki | Baleno | Alpha CVT -> 4449000
DB: Maruti Suzuki | Ignis | Delta MT -> 3699000
DB: Maruti Suzuki | Ignis | Alpha MT -> 3999000
DB: Maruti Suzuki | Ignis | Alpha AMT -> 4199000
DB: Maruti Suzuki | Vitara Brezza | LXI MT -> 4649000
DB: Maruti Suzuki | Vitara Brezza | VXI MT -> 5199000
DB: Maruti Suzuki | Vitara Brezza | ZXI+ AT (Smart Hybrid) -> 5999000
DB: Maruti Suzuki | Vitara Brezza | ZXI+ 6AT (Smart Hybrid) Dual Tone -> 6529000
DB: Maruti Suzuki | Ertiga | VXI MT -> 4999000
DB: Maruti Suzuki | Ertiga | ZXI MT -> 5499000
DB: Maruti Suzuki | Ertiga | ZXI+ AT (Smart Hybrid) -> 5999000
DB: Maruti Suzuki | Grand Vitara | Delta 1.5L MT (Mild Hybrid) -> 5799000
DB: Maruti Suzuki | Grand Vitara | Zeta+ 1.5L AT AllGrip AWD -> 7299000
DB: Maruti Suzuki | Grand Vitara | Alpha Strong Hybrid AT -> 8299000
DB: Maruti Suzuki | Grand Vitara | Alpha Strong Hybrid AT Dual Tone -> 9729000
DB: Maruti Suzuki | Fronx | Sigma 1.2L MT -> 4399000
DB: Maruti Suzuki | Fronx | Delta 1.0L Turbo MT -> 5099000
DB: Maruti Suzuki | Fronx | Alpha+ 1.0L Turbo AMT -> 5999000
DB: Maruti Suzuki | Jimny | Zeta MT -> 5799000
DB: Maruti Suzuki | Jimny | Alpha MT -> 6099000
DB: Maruti Suzuki | Jimny | Alpha AT -> 6299000
DB: Maruti Suzuki | Eeco | Standard AC 5-Seat -> 1899000
DB: Maruti Suzuki | Eeco | Standard AC 7-Seat -> 2099000
